ID,Patch,Year,Month,Team,Side,Result,Time,Kills,Deaths,Assists,Pick1,Role1,Pick2,Role2,Pick3,Role3,Pick4,Role4,Pick5,Role5,E_Pick1,E_Role1,E_Pick2,E_Role2,E_Pick3,E_Role3,E_Pick4,E_Role4,E_Pick5,E_Role5,Ban1,Ban2,Ban3,Ban4,Ban5,E_Ban1,E_Ban2,E_Ban3,E_Ban4,E_Ban5
28,13.13,2023,July,ANUBIS(TCL2),Red,Win,,,,,Maokai,Jun,Rell,Sup,Azir,Mid,Ezreal,Adc,K'Sante,Top,Tristana,Adc,Amumu,Jun,Xayah,Adc,Alistar,Sup,Kennen,Top,Nocturne,Milio,Yuumi,Rakan,Nautilus,Draven,Brand,Rengar,Varus,Samira
29,13.13,2023,July,ANUBIS(TCL2),Blue,,,,,,Maokai,Jun,Xayah,Adc,Azir,Mid,Gnar,Top,Braum,Sup,Tristana,Adc,Rell,Jun,Varus,adc,Jax,Top,Soraka,Sup,Nocturne,Milio,Yuumi,Amumu,Gragas,Jayce,K'Sante,Olaf,Rakan,Poppy
30,13.13,2023,July,DOMINO (NLC),Red,Win,:30:22,31,23,69,Maokai,Jun,Tristana,Mid,Rakan,Sup,Kai'Sa,Adc,Kennen,Top,Rell,Sup,LeBlanc,Mid,Aphelios,Adc,Nautilus,Sup,Renekton,Top,Milio,Annie,Heimerdinger,Olaf,,,Poppy,Yasuo,Xayah,Gragas
31,13.13,2023,July,DOMINO (NLC),Red,Win,:20:42,26,14,46,Tristana,Mid,Maokai,Jun,Varus,Adc,Renekton,Top,Heimerdinger,Sup,Gragas,Jun,Azir,Mid,Kai'Sa,Adc,Vi,Jun,Nautilus,Sup,Annie,Milio,Rell,Wukong,Olaf,Poppy,Yasuo,Sejuani,Rakan,Braum
32,13.13,2023,July,Chasing Haze  (TCL2),Blue,Lose,:28:06,7,23,16,Maokai,Jun,Jayce,Mid,Ezreal,Adc,K'Sante,Top,Heimerdinger,Sup,Ashe,Adc,Rell,Sup,Azir,Mid,Ivern,Jun,Jax,Top,Rek'Sai,Annie,Fiora,Yone,Yasuo,Tristana,Vi,LeBlanc,Renekton,Braum
33,13.13,2023,July,Chasing Haze  (TCL2),Blue,Lose,:29:39,12,22,30,Maokai,Jun,Jayce,Mid,Kai'Sa,Adc,Janna,Sup,Poppy,Top,Xayah,Adc,Sejuani,Jun,Rakan,Sup,Sylas,Mid,K'Sante,Top,Annie,Fiora,Rell,Yone,Yasuo,Tristana,Vi,LeBlanc,Nautilus,Leona
34,13.13,2023,July,Chasing Haze  (TCL2),Blue,Lose,:24:59,9,20,8,Gragas,Top,Aphelios,Adc,Orianna,Mid,Milio,Sup,Trundle,Jun,Azir,Mid,Poppy,Jun,Ashe,Adc,Nautilus,Sup,Yone,Top,Annie,Fiora,Maokai,Rell,Braum,Tristana,Vi,LeBlanc,Renata,Rakan
35,13.13,2023,July,Chasing Haze  (TCL2),Blue,Lose,:24:06,6,27,10,Azir,Mid,Poppy,Jun,Kai'Sa,Adc,Leona,Sup,Renekton,Top,Sylas,Mid,Sejuani,Jun,Varus,Adc,Nautilus,Sup,Quinn,Top,Annie,Milio,Maokai,Yone,Jax,Tristana,Vi,LeBlanc,Rell,Braum
36,13.13,2023,July,Chasing Haze  (TCL2),Blue,Win,:33:11,29,30,69,Tristana,Mid,Sejuani,Jun,Rell,Sup,Jinx,Adc,Gragas,Top,Ivern,Jun,Varus,Adc,Sylas,Mid,Braum,Sup,Aatrox,Top,Annie,Maokai,Azir,Yone,Quinn,Jayce,Vi,LeBlanc,Poppy,Kai'Sa
37,13.13,2023,July,PL,Blue,Lose,,,,,Tristana,Mid,Sejuani,Jun,Ashe,Adc,Nautilus,Sup,Renekton,Top,Syndra,Mid,Poppy,Jun,Kai'Sa,Adc,Rell,Sup,Malphite,Top,Draven,Samira,LeBlanc,Blitzcrank,Pyke,Maokai,Ivern,Jayce,Milio,Nautilus
38,13.13,2023,July,PL,Blue,Win,,,,,Azir,Mid,Kai'Sa,Adc,Sejuani,Jun,Renekton,Top,Heimerdinger,Sup,Ahri,Mid,Poppy,Jun,Jinx,Adc,Braum,Sup,Ornn,Top,LeBlanc,Draven,Samira,Rell,,Maokai,Tristana,Ivern,Rakan,K'Sante
39,13.13,2023,July,PL,Blue,Win,:29:31,34,17,59,Tristana,Adc,Gragas,Jun,Kai'Sa,Adc,Braum,Sup,Sett,Top,Azir,Mid,Sejuani,Jun,Xayah,Adc,Sion,Top,Heimerdinger,Sup,LeBlanc,Draven,Poppy,Rakan,Rell,Maokai,Ivern,Milio,Gwen,K'Sante
40,13.13,2023,July,PCS (LFL2 ),Red,Lose,:32:29,,,,Ivern,Jun,Kai'Sa,Adc,Yone,Mid,Leona,Sup,K'Sante,Top,Maokai,Jun,Xayah,Adc,Azir,Mid,Renekton,Top,Heimerdinger,Sup,LeBlanc,Rakan,Olaf,Rell,Braum,Tristana,Sejuani,Gnar,Alistar,Nautilus
41,13.13,2023,July,PCS (LFL2 ),Blue,Lose,:27:57,,,,Sejuani,Jun,Azir,Mid,Gnar,Top,Vayne,Adc,Rell,Sup,Renekton,Top,Bel'Veth,Jun,Ahri,Mid,Ziggs,Adc,Nautilus,Sup,LeBlanc,Rakan,Olaf,Kai'Sa,Aphelios,Tristana,Ivern,Maokai,Xayah,Varus
42,13.13,2023,July,PCS (LFL2 ),Red,Win,,,,,Kai'Sa,Adc,Poppy,Jun,Syndra,Mid,Rek'Sai,Top,Rell,Sup,Azir,Mid,Nocturne,Jun,Renekton,Top,Varus,Adc,Thresh,Sup,LeBlanc,Rakan,Maokai,Ziggs,Ashe,Tristana,Ivern,Sejuani,Nautilus,Alistar
43,13.13,2023,July,LFO (TCL),Blue,Win,:34:04,34,32,67,Azir,Mid,Sejuani,Jun,Kai'Sa,Adc,Rek'Sai,Top,Braum,Sup,Tristana,Mid,Maokai,Jun,Xayah,Adc,Rumble,Top,Milio,Sup,Karthus,Rakan,Rell,Nautilus,Blitzcrank,LeBlanc,Draven,Akshan,Kennen,Renekton
44,13.13,2023,July,LFO (TCL),Red,Lose,00:29:37,22,41,40,Maokai,Jun,Kai'Sa,Adc,Nautilus,Sup,Renekton,Top,Yone,Mid,Jayce,Mid,Ashe,Adc,Rumble,Top,Nocturne,Jun,Milio,Sup,Karthus,LeBlanc,Tristana,Braum,Heimerdinger,Draven,Nilah,Azir,Kennen,Rek'Sai
45,13.13,2023,July,LFO (TCL),Blue,Lose,:24:36,16,31,32,Tristana,Mid,Ivern,Jun,Rell,Sup,Gnar,Top,Syndra,Mid,Cassiopeia,Adc,Maokai,Top,Alistar,Sup,Kindred,Jun,Jayce,Mid,Rumble,Rakan,LeBlanc,Xayah,,Kai'Sa,Poppy,Azir,Fiora,K'Sante
46,13.13,2023,July,LFO (TCL),Blue,Lose,:28:25,25,32,52,Tristana,Mid,Ivern,Jun,Varus,Adc,Heimerdinger,Sup,Ornn,Top,Cassiopeia,Mid,Maokai,Top,Kha'Zix,Jun,Jinx,Adc,Milio,Sup,Rumble,Jayce,LeBlanc,Ashe,Braum,Kai'Sa,Poppy,Azir,Fiora,K'Sante
47,13.13,2023,July,Kaeru (MNT),Blue,,,,,,Azir,Mid,Varus,Adc,Sejuani,Jun,Jax,Top,Braum,Sup,Ashe,Adc,Syndra,Mid,Viego,Jun,Ornn,Top,Heimerdinger,Sup,LeBlanc,Rakan,Lucian,Olaf,Darius,Maokai,Rell,Kai'Sa,Renekton,Rumble
48,13.13,2023,July,Kaeru (MNT),Blue,,,,,,Tristana,Mid,Maokai,Jun,Rumble,Top,Xayah,Adc,Alistar,Sup,Renekton,Top,Sejuani,Jun,Yasuo,Mid,Ezreal,Adc,Neeko,Sup,,Rakan,LeBlanc,Ziggs,Karthus,Azir,Rell,Kai'Sa,Braum,Nautilus
49,13.13,2023,July,Chasing Haze  (TCL2),Red,Lose,:30:20,17,29,47,Kai'Sa,Adc,Maokai,Jun,Azir,Mid,K'Sante,Top,Alistar,Sup,Tristana,Mid,Sejuani,Jun,Varus,Adc,Jax,Top,Braum,Sup,Yone,Rell,Jayce,Rumble,Irelia,LeBlanc,Malphite,Poppy,Rakan,Renata
50,13.13,2023,July,Chasing Haze  (TCL2),Blue,Lose,00:31:41,20,28,39,Tristana,Mid,Amumu,Jun,Rakan,Sup,Rumble,Top,Vayne,Adc,Ivern,Jun,Jayce,Mid,Fiora,Top,Ziggs,Adc,Alistar,Sup,Rell,Maokai,Kai'Sa,Varus,Ashe,LeBlanc,Poppy,Sejuani,Xayah,Jinx
51,13.13,2023,July,Chasing Haze  (TCL2),Blue,,,,,,LeBlanc,Mid,Varus,Adc,Rumble,Top,Lulu,Sup,Vi,Jun,Xayah,Adc,Sejuani,Jun,Rakan,Sup,Akali,Mid,Akshan,Top,Jayce,Ivern,Tristana,Fiora,Irelia,Poppy,Malphite,Rek'Sai,Nautilus,Milio
52,13.13,2023,July,Chasing Haze  (TCL2),Blue,,,,,,Kai'Sa,Adc,Sejuani,Jun,Rakan,Sup,Rengar,Top,,,Ahri,Mid,Vi,Jun,Rumble,Top,,,,,Jayce,LeBlanc,Tristana,Xayah,Varus,Poppy,Azir,Rek'Sai,Jax,Renekton
53,13.13,2023,July,Always with Honor (TCL2),Blue,Lose,:27:09,15,33,26,Ashe,Adc,Ornn,Top,Braum,Sup,Syndra,Mid,Wukong,Jun,Rumble,Top,Tristana,Mid,Rakan,Sup,Xayah,Adc,Nautilus,Sup,Ziggs,Jayce,Maokai,Samira,Jarvan IV,Rell,Kai'Sa,,Ivern,Sejuani
54,13.13,2023,July,Always with Honor (TCL2),Blue,Lose,:26:04,18,16,35,Ashe,Adc,Sejuani,Jun,Azir,Mid,Leona,Sup,Jax,Top,Jayce,Mid,Maokai,Jun,Milio,Sup,Kog'Maw,Adc,Kennen,Top,Rumble,Rakan,Tristana,Xayah,Jinx,Kai'Sa,Rell,,Nautilus,Blitzcrank
55,13.13,2023,July,Always with Honor (TCL2),Blue,Lose,:25:15,16,34,25,Kai'Sa,Adc,Poppy,Jun,Azir,Mid,Blitzcrank,Sup,Gnar,Top,Rell,Sup,Xayah,Adc,LeBlanc,Mid,Skarner,Jun,Malphite,Top,Rumble,Rakan,Tristana,Trundle,Nocturne,Sejuani,Maokai,Ashe,Alistar,Braum
56,13.13,2023,July,Always with Honor (TCL2),Blue,Win,00:15:28,17,7,33,Ashe,Adc,Ivern,Jun,Braum,Sup,Viktor,Mid,Ornn,Top,Rell,Sup,Poppy,Jun,Azir,Mid,Sivir,Adc,Olaf,Top,Rumble,Rakan,LeBlanc,Malphite,Jarvan IV,Sejuani,Maokai,Kai'Sa,Tristana,Yone
57,13.13,2023,July,PCS (LFL2 ),Blue,Win,:20:29,28,7,52,Tristana,Mid,Ivern,Jun,Xayah,Adc,Rumble,Top,Rakan,Sup,Kai'Sa,Adc,Rell,Sup,Jayce,Mid,Fiddlesticks,Jun,Ornn,Top,Heimerdinger,Ziggs,Olaf,Kha'Zix,Viego,Maokai,Gnar,Sejuani,Alistar,Nautilus
58,13.13,2023,July,PCS (LFL2 ),Blue,Win,:22:38,27,7,48,Kai'Sa,Mid,Rumble,Top,Ivern,Jun,Ezreal,Adc,Leona,Sup,Xayah,Adc,Rell,Jun,Azir,Mid,Aatrox,Top,Alistar,Sup,Heimerdinger,Varus,Ziggs,Kha'Zix,Viego,Maokai,Tristana,Gnar,Yone,Irelia
59,13.13,2023,July,PCS (LFL2 ),Blue,Lose,:36:57,26,29,49,Kai'Sa,Mid,Sejuani,Jun,Ashe,Adc,Milio,Sup,Renekton,Top,Rell,Sup,Xayah,Adc,Azir,Mid,Alistar,Sup,,,Heimerdinger,Varus,Ziggs,Olaf,Malphite,Maokai,Tristana,Rumble,Gnar,Yone
60,13.13,2023,July,PCS (LFL2 ),Blue,,,,,,Azir,Mid,Poppy,Jun,Xayah,Adc,Kennen,Top,Janna,Sup,Gragas,Mid,Rell,Jun,Sivir,Adc,Alistar,Sup,"Dr, Mundo",Top,Ziggs,Olaf,Kai'Sa,Darius,Renekton,Maokai,Tristana,Rumble,Gnar,Rakan
61,13.13,2023,July,ING (HPM),Blue,Win,:23:25,32,14,47,Ashe,Adc,Rumble,Top,Rell,Sup,Nocturne,Jun,Ahri,Mid,Jayce,Mid,Maokai,Jun,Poppy,Sup,Aphelios,Adc,Aatrox,Top,Heimerdinger,Varus,Draven,Xayah,Ezreal,Tristana,Ivern,Kai'Sa,Azir,Syndra
62,13.13,2023,July,ING (HPM),Blue,Win,:26:13,26,15,58,Tristana,Mid,Maokai,Jun,Rumble,Top,Aphelios,Adc,Milio,Sup,Rell,Sup,Xayah,Adc,Sejuani,Jun,Irelia,Top,Syndra,Mid,Heimerdinger,Varus,Draven,LeBlanc,Riven,Ivern,Ashe,Kai'Sa,Ezreal,Braum
63,13.13,2023,July,ING (HPM),Blue,Win,:24:37,32,12,58,Kai'Sa,Adc,Sejuani,Jun,Rek'Sai,Top,Nautilus,Sup,Viktor,Mid,Rumble,Top,Rell,Sup,LeBlanc,Mid,Zeri,Adc,,,Ziggs,Varus,Draven,Xayah,Ezreal,Ivern,Tristana,Ashe,Syndra,Azir
64,13.13,2023,July,ING (HPM),Blue,Win,:26:32,38,20,67,Tristana,Adc,Maokai,Jun,Rell,Sup,Neeko,Mid,Gnar,Top,Kai'Sa,Adc,Jayce,Mid,Alistar,Sup,Amumu,Jun,Irelia,Top,Heimerdinger,Varus,Draven,Sejuani,,Ivern,Rumble,Ashe,Azir,Sylas
